user_id,game_name,language,has_older_device_model,age,0,,,,,
5Xx7q8xw22flTcYbZ1XZVQ==,game 3,uk,FALSE,26,0,,,,,
C/7YatYfa4qFbB1omZ7Jjw==,game 2,uk,FALSE,52,0,,,,,
9nB4N3m82ypCK7nU2bHlsg==,game 3,uk,FALSE,18,1,,,,,
GUNmu9bjwltT1/vYgzDEDQ==,game 3,uk,TRUE,16,0,,,,,
BJlqmsfEshc/QjsD7VgEjg==,game 3,ru,FALSE,18,0,,,,,
72brUr/DKItStlTen5pHYg==,game 3,uk,FALSE,24,0,,,Homework,Result,
lx3SsUV7NOrv93tCexVp5A==,game 3,uk,FALSE,16,0,,,"AVG 
age",28,Середній вік
6ipBh7SPmBBGiuxQCIUYSQ==,game 3,uk,FALSE,14,0,,,"St.Deviation 
Age",11,Standard deviation (стандартне вiдхилення)
+XaSf2+oFw0h4r4lMGtlKg==,game 1,uk,FALSE,28,0,,,"Median
age",25,Медіану
dWvFmvH1mrX5ynKDMtIxew==,game 3,uk,FALSE,19,0,,,"InterQuartile
range Age",15,Іnterquartile range (iнтерквартильний розмах)
q9TV+qvkgGGnF1B3Hpxi2A==,game 2,uk,FALSE,32,0,,,"10 Percentile
Age",17,10 перцентиль віку
O9T00LQC/16Lgl/6vAewxw==,game 3,uk,FALSE,17,0,,,"90 Percentile
Age ",42,90 перцентиль віку
Yh9mYycPmc8CH9Rbjhu3ZQ==,game 3,uk,FALSE,28,1,,,,,
eta8WROtgGk5SWjifG5tKg==,game 3,uk,TRUE,24,1,,,,,
TNdhXWImewzfKgSZERKqHg==,game 1,uk,TRUE,51,0,,,,,
zEyHPUqp7tcf4Ph1pf8RVg==,game 3,uk,FALSE,29,0,,,,,
6mN0Jzk2AOKHZaR86dbp/w==,game 3,uk,FALSE,27,0,,,,,
0eReSP1wjrlaCrNarA17cg==,game 3,uk,FALSE,30,1,,,,,
l/xNwa0deBW/QHR7j4LODA==,game 1,uk,TRUE,47,0,,,,,
tYg70RALG5X84dBVTp2Y9A==,game 3,uk,FALSE,22,0,,,,,
JXA4uqo3jncMWO4LsSrZbQ==,game 3,uk,FALSE,20,0,,,,,
2+S3jssW8rtYXSPmexaaiA==,game 3,uk,FALSE,38,0,,,,,
OAAGTJfPU2ECPJT1KYm2ZQ==,game 3,uk,FALSE,22,0,,,,,
qmch9Rk8p6ZJNjt7HTQw4A==,game 3,ru,FALSE,18,0,,,,,
qLoIniwAYvPCzrtZ7Ln+ww==,game 3,uk,FALSE,18,0,,,,,
ZCrjrr7SNp46x1bAw6ykCQ==,game 3,uk,FALSE,40,1,,,,,
4b7l8C489HEJirtoe7xtFg==,game 3,uk,TRUE,20,1,,,,,
XSZxFQNeg3ZjIpbyTq/c/w==,game 3,ru,TRUE,24,0,,,,,
6ixbflHAI1ukNI8Q4yojng==,game 3,ru,FALSE,28,0,,,,,
c7pdTbhl0kCLttqnek0LkA==,game 3,uk,FALSE,29,0,,,,,
TRCpkFBj/nNBWSeMDiZ4PA==,game 3,ru,FALSE,22,0,,,,,
2KL9Q4TKLCcD4cngwhx6Dg==,game 3,ru,FALSE,18,0,,,,,
jq4fCcLGeHYv9qtV7BoMMA==,game 3,ru,FALSE,23,0,,,,,
8N2nO3Xpj2FxKXMN+tEVuA==,game 2,uk,FALSE,42,0,,,,,
tT9yKBTS8+fiseCYzs+xpg==,game 3,uk,FALSE,27,0,,,,,
RwtKwrRSrVpyAMRaDyhr8g==,game 3,uk,FALSE,44,0,,,,,
+LoQzx/2kX3kh4Ca2bD6SQ==,game 3,ru,FALSE,17,0,,,,,
fJmNupxgAjFNEunsTkTGvw==,game 3,uk,FALSE,19,0,,,,,
JBV4ilPNTtWevrqq146kyg==,game 3,uk,FALSE,43,1,,,,,
KGIOUXIH8DKGFJDqvZHRAg==,game 3,uk,TRUE,20,1,,,,,
xnLJlU804PSS9tXKmm7gZQ==,game 3,ru,TRUE,21,0,,,,,
q7uZmV3KuzJ/HG059ifMVA==,game 3,uk,FALSE,34,1,,,,,
/XThnQ3rpZ0NLqOuElrVRA==,game 1,uk,TRUE,35,0,,,,,
DorDcyqBWMg5IEaflqn5Xw==,game 3,ru,FALSE,23,0,,,,,
jhrmbU5/bjkLP47gh8/Yjw==,game 3,uk,FALSE,15,0,,,,,
dgBa9WGkPfw5k5+itQIC9w==,game 3,uk,FALSE,34,0,,,,,
oQnpBYNAEqjPpyum9+XLVA==,game 2,uk,FALSE,47,0,,,,,
DBKe4QcLb25HhRTC6JazsQ==,game 3,ru,FALSE,42,0,,,,,
ggagwJUZ4ncXasoKUYzMzA==,game 3,ru,FALSE,30,1,,,,,
pLv7PMKFhQ0q4b9RB4vEOQ==,game 3,ru,TRUE,18,0,,,,,
